tpep_pickup_datetime,revenue,total_distance,total_duration_minutes,total_passengers,total_tips,total_fare_revenue,total_trips,duration_p50,speed_p50,avg_trip_price,avg_distance,avg_duration_minutes,avg_tip,avg_speed_mph,avg_tip_pct,revenue_index_100,trips_index_100
2022-01-31,63214020.2,10560806.08,42068384.1,4905692.0,8017025.04,42245211.8,3322676,31.183333333333334,11.265071770334927,19.025032895172448,3.178403816682698,12.66099496309601,2.412821785813603,15.06234143184026,18.977357902606137,100.0,100.0
2022-02-28,78052238.52,12610103.92,56020082.833333336,5891728.0,10107847.16,52212099.44,3996864,34.5,10.461538461538462,19.52836987197963,3.154999499607692,14.016009259592854,2.5289444824742597,13.50598208594223,19.359204606617137,123.47298632970032,120.29051282761245
2022-03-31,101445599.08,16805230.14,72735000.89999999,7193208.0,13168456.1,68221946.28,4909910,37.5,10.525951557093427,20.661396864708315,3.4227165345189627,14.813917342680414,2.6820157803299858,13.86284176700959,19.30237528837619,160.4795878494056,147.7697494429189
2022-04-30,102908338.96000001,17201123.919999998,74738497.33333334,7178092.0,13230596.22,69796961.4,4853384,12.016666666666667,10.584139264990329,21.203419914847043,3.5441506215045004,15.399254897888431,2.7260559271633977,13.809047171459495,18.955834114577943,162.7935363617326,146.06853030509143
2022-05-31,105415720.54,17763213.540000003,78219244.6,6966606.0,13553842.9,72025312.02,4765950,43.4,10.461928934010153,22.11851163776372,3.727108664589432,16.412099287655135,2.843891123490595,13.625710882919984,18.818166169466043,166.7600323575054,143.43709708680595
2022-06-30,104723899.19999999,17410757.36,77592125.53333335,6932464.0,13358273.9,71679091.32,4739538,12.566666666666666,10.421052631578947,22.09580326183691,3.673513612508223,16.371242415048332,2.818475956939263,13.463291982524998,18.63622104298741,165.66562112118282,142.6421956278614
2022-07-31,92303120.56,15946000.299999999,65193935.93333333,6384022.0,11553266.42,63088435.72,4290024,39.3,11.044957472660995,21.515758550534915,3.7169955925654494,15.196636646632589,2.693054029534567,14.675598340593721,18.312811671660196,146.01684921788916,129.11352175174468
2022-08-31,93650062.44,16208848.899999999,66693125.699999996,6415552.0,11654696.14,64062829.62,4325658,12.0,10.933764135702747,21.649899839515744,3.7471406431114063,15.418030204884435,2.6943175211725015,14.582176555566654,18.192602807481173,148.14761368396563,130.18597058515488
2022-09-30,97238686.74,16280402.6,73918714.03333333,6208884.0,12462296.26,66754892.66,4286968,45.93333333333333,10.17391304347826,22.68239155039179,3.7976496675505858,17.24265588950823,2.9070187274549286,13.21484239511398,18.668738370195143,153.824557325022,129.02154769228176
2022-10-31,110532810.54,18382211.88,82734184.13333334,7125588.0,14279983.280000001,75600701.16,4943720,13.05,10.047192839707078,22.358226303269603,3.718295510263526,16.735208331647694,2.8885097214243527,13.331039936557879,18.888691587367816,174.85489799618853,148.78730276439833
2022-11-30,104976723.84,17264693.439999998,78317560.2,6813436.0,13639781.04,71582486.62,4748302,12.966666666666667,9.966101694915253,22.108266036995964,3.635972067488546,16.493803511234123,2.8725597150307625,13.22668382103149,19.05463428842254,166.0655713841152,142.90595893189706
2022-12-31,116638210.3,17169468.0,78977409.4,6857672.0,14622855.24,80308451.52,4656340,13.116666666666667,10.004597701149427,25.049332802157917,3.687331251583862,16.96126343866642,3.1404182770158537,13.043832253125284,18.20836408028404,184.51319807057612,140.13825001294137
