tpep_pickup_datetime,revenue,total_distance,total_duration_minutes,total_passengers,total_tips,total_fare_revenue,total_trips,duration_p50,speed_p50,avg_trip_price,avg_distance,avg_duration_minutes,avg_tip,avg_speed_mph,avg_tip_pct,revenue_index_100,trips_index_100,revenue_index_dow
2022-01-01,1820853.98,340529.98,1100107.4666666666,141000.0,217493.9,1263692.72,86830,30.9,13.504550050556116,20.97033260393873,3.9218009904410915,12.669670236861299,2.5048243694575607,18.572548063789164,17.210979897074978,100.0,100.0,56.260130532253385
2022-01-31,2292329.92,382425.76,1629997.6,163654.0,290773.8,1547147.36,113304,11.483333333333333,10.130365659777427,20.231676904610605,3.375218527148203,14.386055214290758,2.5663153992798136,14.07704256742464,18.794189068066533,125.89312186362139,130.48946216745364,74.75740171701507
2022-02-28,2837326.16,479784.78,1986424.7666666666,197634.0,363604.6,1908871.08,136542,11.233333333333333,10.598612178255859,20.779878425685872,3.5138256360680233,14.548086058990396,2.662950593956438,14.491908922534412,19.048148605195482,155.8239260898889,157.25210180813082,92.53080444254542
2022-03-01,3117333.6,504447.80000000005,2277272.7,223186.0,402032.76,2088865.14,154804,11.716666666666667,10.035135199297295,20.137293609984237,3.2586225162140514,14.710683832459111,2.5970437456396476,13.2908403986927,19.24646796489696,171.2017346937397,178.28400322469193,90.83085993676953
2022-03-02,3264557.58,522540.06,2379231.2666666666,232984.0,424403.64,2176888.94,163306,36.2,10.009756097560976,19.990432562183877,3.199760327238436,14.56916014516715,2.5988245379839077,13.17753513046469,19.49587928909226,179.2871705176491,188.07554992514108,91.73937720099467
2022-03-03,3498680.7800000003,554258.6,2574605.7,251632.0,457959.8,2328724.28,174708,11.716666666666667,9.851595394185773,20.02587620486755,3.1724855186940495,14.736621677313003,2.621286947363601,12.916741386846148,19.665694386112555,192.14504943444175,201.20695612115628,95.27070974307006
2022-03-04,3481687.98,545540.62,2612224.466666667,253402.0,454178.14,2320067.4,173226,38.266666666666666,9.75392670157068,20.099107408818536,3.149299874152841,15.079863684820216,2.621882050038678,12.530484120979189,19.57607524677947,191.21181699589113,199.5001727513532,97.32874235479171
2022-03-05,3163274.96,515231.12,2259076.8666666667,250848.0,408756.78,2138021.06,165116,11.316666666666666,10.865529095050736,19.157894813343347,3.120419099299886,13.681756260245322,2.4755734150536592,13.684291869897416,19.118463688098565,173.72480137039875,190.16008292064953,97.73780001788424
2022-03-06,2826753.62,521096.88,1787758.5,199476.0,369808.36,1931892.12,131192,10.816666666666666,12.613138686131387,21.546692023903898,3.972017196170498,13.62703899628026,2.8188331605585706,17.48883464964647,19.142288338543455,155.24328974473835,151.09063687665554,96.01935532603854
2022-03-07,2800674.86,478782.92,1922798.6,192866.0,360571.26,1879350.24,134684,36.43249999999995,10.761417596215844,20.79441403581717,3.554861156484809,14.27636987318464,2.677164770871076,14.940189367726811,19.185953332466653,153.81106287281753,155.11228837959231,91.33553323239131
2022-03-08,3208807.2,511441.98,2360523.6666666665,229752.0,419952.86,2138431.62,159238,11.8,9.861163227016885,20.151014205152038,3.2118086135218977,14.823871605186365,2.637265351235258,12.999877626023943,19.63835813464075,176.22539946887997,183.3905332258436,93.49615881575768
2022-03-09,3282134.0,501538.48,2503675.6,231842.0,433996.2,2189789.02,162462,12.25,9.36106569630963,20.20247196267435,3.087112555551452,15.41083822678534,2.6713705358791593,12.0192523344478,19.819087411443867,180.2524549497374,187.10353564436255,92.23330318781187
2022-03-10,3558536.54,561555.88,2746978.2,242704.0,469532.22,2392300.76,168496,12.716666666666667,9.635490924994533,21.119412567657392,3.332754961542114,16.302928259424558,2.786607515905422,12.26560618500722,19.626805619540917,195.43228502046057,194.0527467465162,96.90061001005323
2022-03-11,3620658.48,584413.6,2725412.6,255132.0,475186.5,2422988.14,173642,11.983333333333333,10.032786885245901,20.85128298453139,3.365623524262563,15.695584017691573,2.736587346379332,12.865874326698275,19.611590009681183,198.84397759341473,199.97926983761374,101.21358903465318
2022-03-12,3111830.02,516233.7,2062147.1666666665,252512.0,404305.32,2085495.78,164988,10.316666666666666,11.30298273155416,18.86094758406672,3.1289166484835262,12.498770617661082,2.4505134918903195,15.02027716579879,19.38653263541967,170.89948201118247,190.0126684325694,96.14827165843614
2022-03-13,2895416.3,526141.54,1917413.9666666666,207870.0,372318.26,1981381.92,136210,10.7,12.424116424116422,21.257002422729606,3.8627232949122683,14.07689572473876,2.733413552602599,16.46409849349347,18.790837659404907,159.0141950866373,156.86974547967293,98.35169381564417
2022-03-14,2849777.24,498453.02,1950496.1,192144.0,362315.36,1925487.82,132330,39.13333333333333,11.070911722141823,21.535383057507747,3.7667423864580973,14.739636514773673,2.737968412302577,15.333115098256286,18.81680871915357,156.50773051005442,152.4012438097432,92.93685872873242
2022-03-15,3160397.1599999997,518634.48000000004,2298450.1333333333,219834.0,408834.58,2116845.18,152698,37.7,10.314990512333967,20.697043576209246,3.3964719904648395,15.052260889686396,2.677406252865133,13.538718264411914,19.313390693976025,173.5667546499253,175.8585742254981,92.08561822979875
2022-03-16,3372448.6,542612.74,2515363.4,235650.0,436268.84,2261928.16,161970,12.233333333333333,10.01036269430052,20.821439772797433,3.350081743532753,15.529810458726924,2.693516330184602,12.943165349388481,19.287475513811188,185.21246827271676,186.53691120580444,94.77129032791218
2022-03-17,3358838.18,542054.36,2537163.166666667,230226.0,436152.04000000004,2262349.98,157406,12.266666666666667,10.192771084337348,21.33869217183589,3.443670253992859,16.11859247212093,2.770873028982377,12.81875049555018,19.278716549417346,184.46499372783313,181.28066336519638,91.4627305097328
2022-03-18,3694470.42,610688.02,2795727.3000000003,254222.0,477243.95999999996,2492443.8,171392,44.31666666666667,10.229137130962178,21.5556759942121,3.563106912808066,16.311889119678867,2.784517130321135,13.106171406631827,19.14763173396327,202.8976766165511,197.38799953932974,103.27696270059764
2022-03-19,3329675.3,562353.46,2353173.7666666666,251332.0,425597.8,2267388.26,164820,34.79250000000005,11.014747454779084,20.201888727096225,3.41192488775634,14.277234356671924,2.58219754884116,14.33859584785161,18.770397973216994,182.86338918840707,189.81918691696418,102.87918145310033
2022-03-20,3121634.04,577196.06,2088955.8666666667,204896.0,402765.2,2160033.78,136134,41.15,12.299999999999999,22.930598087178808,4.239911116987674,15.344850416991102,2.9585937385223384,16.578504195620795,18.646245430476558,171.43791178686388,156.78221812737533,106.0358730820754
2022-03-21,2963430.96,521425.3,2008878.1,197436.0,379190.76,1999932.06,136154,38.96666666666667,11.132530120481928,21.765287542047975,3.8296730173186244,14.75445524920311,2.785013734447758,15.573626891547077,18.96018207738517,162.7495116329976,156.80525164113786,96.6433307895574
2022-03-22,3158237.8,522409.74,2254823.3000000003,219642.0,405525.68000000005,2116509.2,153324,11.683333333333334,10.39782016348774,20.598456862591636,3.407227439931126,14.706264511752892,2.644893689181081,13.9011267091306,19.160118935462222,173.44816414109164,176.57952320626512,92.0227001880104
2022-03-23,3349717.62,542968.36,2381817.7666666666,238986.0,435591.5,2229089.38,165078,11.466666666666667,10.225130890052357,20.29172645658416,3.2891624565356983,14.428438475548932,2.6387010988744715,13.67783130008001,19.541230778283104,183.9640990871767,190.11631924450074,94.13251282215035
2022-03-24,3442560.0,559677.28,2492449.3,241694.0,450611.78,2295482.52,166972,37.65,10.103808174604634,20.617588577725606,3.351922957142515,14.927348896821023,2.6987266128452676,13.472946791736147,19.63037296402501,189.0629362822383,192.29759299781182,93.74251472382205
2022-03-25,3537420.2,585774.68,2567181.3666666667,248758.0,456259.9,2376587.84,167728,11.966666666666667,10.309278518852004,21.090218687398647,3.4924084231613093,15.30562199910967,2.7202369312219785,13.690688650344807,19.19810798998282,194.2725907104314,193.16825981803524,98.88670702951266
2022-03-26,3459795.04,578180.94,2432731.533333333,268762.0,448789.06,2343799.9,175354,11.433333333333334,11.05511811023622,19.730345700696876,3.2972212781002996,13.87325942569507,2.5593317517707037,14.260043052291314,19.147925554566328,190.0094723685641,201.95093861568583,106.89957717820009
2022-03-27,3149258.86,577845.46,2022916.7333333334,220256.0,409039.76,2157919.26,145834,35.61666666666667,12.444444444444445,21.59481917796947,3.962350754967977,13.871365616614325,2.8048312464857306,17.138979093257124,18.955285657907332,172.95504716968026,167.9534723021997,106.9742348086265
2022-03-28,3136511.64,534359.66,2142016.3,214982.0,403988.9,2104261.26,149676,37.666666666666664,10.638612977304682,20.95534113685561,3.5701091691386733,14.311020470883774,2.699089366364681,14.967943801361367,19.198609397009957,172.25497895223867,172.37821029598067,102.28783327208579
2022-03-29,3396374.6,544700.8,2467186.8666666667,237848.0,441779.12,2267569.34,166914,11.666666666666666,9.965397923875434,20.348051092179208,3.263361970835281,14.781185920094579,2.6467469475298655,13.246685300394622,19.482496619044955,186.52646710308974,192.2307958079005,98.96137698750036
2022-03-30,3481740.04,552666.88,2560687.5,244478.0,456682.1,2319311.06,171198,11.9,9.853309481216458,20.33750417645066,3.2282321055152514,14.957461535765605,2.667566794004603,12.949652310170608,19.69042048202021,191.21467609390623,197.16457445583325,97.84255753435546
2022-03-31,3652965.46,590005.72,2735863.1,247856.0,478817.66,2450811.06,172856,41.31666666666667,9.81132075471698,21.13299775535706,3.413278798537511,15.82741183412783,2.7700378349608923,12.939369371223288,19.53711029849849,200.61825385910404,199.07405274674653,99.47195355191005
2022-04-01,3800117.42,617190.4199999999,2836302.6,264316.0,495527.86,2551154.7,180878,11.983333333333333,10.105263157894738,21.009284821813598,3.412191753557646,15.68074945543405,2.739569544112606,13.056232152380355,19.423669603415266,208.6997343960552,208.31279511689507,106.23026859780116
2022-04-02,3471247.06,578567.56,2475336.6999999997,260682.0,445545.27999999997,2366628.28,172238,11.583333333333334,10.908154506437768,20.153781743866045,3.359116803492842,14.37160614963016,2.5868001254078656,14.023972415550581,18.826162256457106,190.63840912712837,198.3623171714845,107.25341781953365
2022-04-03,3118218.4600000004,571351.52,1988274.7999999998,216022.0,401508.48,2140527.12,142394,10.983333333333333,12.297311544544018,21.898524235571728,4.0124690647077825,13.96319226933719,2.8197008300911555,17.24162635869046,18.7574582096395,171.25033057291066,163.9917079350455,105.91985243303685
2022-04-04,3135313.38,536400.12,2185908.1,211708.0,401787.52,2112154.38,146964,39.21666666666667,10.885008621659107,21.33388707438556,3.649874254919572,14.873765684113117,2.7339179663046735,14.723403605119538,19.02263981290989,172.18917136891997,169.25486582978232,102.24875564918348
