tpep_pickup_datetime,revenue,total_distance,total_duration_minutes,total_passengers,total_tips,total_fare_revenue,total_trips,duration_p50,duration_p95,speed_p50,avg_trip_price,avg_distance,avg_duration_minutes,avg_tip,avg_speed_mph,avg_tip_pct,revenue_index_100,trips_index_100
2022-01-02,1848899.14,354837.8,1097693.9166666667,134177.0,223490.52,1290004.01,84010,10.5,31.866666666666667,13.643256822411537,22.00808403761457,4.223756695631472,13.066229218743802,2.66028472800857,19.395450477353013,17.32479265703988,100.0,100.0
2022-01-09,6877055.11,1214915.2,4277989.933333334,530140.0,851054.37,4627703.09,354268,9.55,30.733333333333334,12.085714285714285,19.41201324985604,3.4293675974121287,12.075575364789746,2.402289707227297,17.03952396708928,18.390427247570027,371.95404342067036,421.69741697416976
2022-01-16,7157166.54,1175768.17,4759969.083333333,569401.0,909600.14,4749025.77,387015,9.883333333333333,30.033333333333335,11.195710455764074,18.493253594821905,3.0380428923943517,12.299185001442664,2.3502968618787388,14.820703446795848,19.153405015109026,387.1042170531812,460.67730032139036
2022-01-23,7574400.49,1244965.8,5082158.65,593493.0,974534.93,5034060.25,404796,10.133333333333333,30.333333333333332,11.103393454306236,18.711648558780226,3.0755387899089914,12.554863807942768,2.4074717388511746,14.698074803312169,19.358825314019633,409.6708320173701,481.8426377812165
2022-01-30,7003323.86,1098703.19,5001381.666666667,543808.0,904445.66,4648239.1,374597,10.616666666666667,32.766666666666666,10.42299794661191,18.69562185495346,2.9330271998974897,13.351366045821688,2.4144498220754573,13.180795986709006,19.457812744615484,378.7834451586148,445.8957266992025
2022-02-06,8799197.82,1387602.95,6434794.266666667,673321.0,1139542.3900000001,5883775.72,460205,11.05,34.266666666666666,10.276303365143145,19.120169967731773,3.0151844286785234,13.982451878329584,2.476162557990461,12.938436498472253,19.36753615754749,475.915512622284,547.7978812046185
2022-02-13,9550211.17,1512194.61,6974094.35,726355.0,1239921.3,6365879.72,496668,11.216666666666667,34.21666666666667,10.277161733756518,19.228561473660474,3.0446789605933944,14.041763008689909,2.49647913696876,13.009814901629488,19.47761117924484,516.5349998486126,591.201047494346
2022-02-20,10054015.14,1621470.44,7216270.616666666,764130.0,1298631.16,6713801.82,516249,11.083333333333334,34.483333333333334,10.442748091603054,19.475127583782246,3.1408689217799934,13.978275244439537,2.5155131729068723,13.481787417354269,19.342709165639327,543.7838615685656,614.508987025354
2022-02-27,10350197.01,1735104.45,7206668.6,765068.0,1339413.33,6961730.6,513691,11.25,34.53333333333333,10.804077010192525,20.148682787901677,3.377720166403538,14.029189921567633,2.607430011427103,14.44582410796578,19.239660466034124,559.8032248530334,611.4641114153077
2022-03-06,11094807.34,1821449.93,7938297.133333334,804581.0,1440372.04,7446665.01,549447,11.533333333333333,35.61666666666667,10.441087613293051,20.19267980351153,3.3150602878894597,14.447794115416652,2.621494047651548,13.767057841800613,19.342511554712733,600.076396811997,654.0257112248541
2022-03-13,11239028.700000001,1840054.0499999998,8119474.9,806339.0,1467931.31,7544868.74,549860,11.566666666666666,37.25,10.452986860333318,20.439800494671374,3.346404630269523,14.766440366638781,2.6696455643254646,13.597337803211879,19.456021841938632,607.8767876975702,654.5173193667421
2022-03-20,11443620.47,1925996.07,8269664.866666666,794152.0,1474588.89,7743238.49,538375,11.916666666666666,39.88333333333333,10.692442882249562,21.25585413512886,3.577424787555143,15.360417676650414,2.7389624146737868,13.973935590279826,19.043568035575255,618.9423869816934,640.846327818117
2022-03-27,11530210.24,1944140.8800000001,8080399.05,817767.0,1492504.22,7759660.08,555222,11.516666666666667,36.65,10.779661016949152,20.766846846846846,3.5015559181732714,14.55345618509353,2.6881215441751225,14.435976747955289,19.234144338961816,623.6257019406694,660.8998928698965
2022-04-03,12028587.34,1994421.2799999998,8602833.933333334,843092.0,1561924.7,8100131.41,578077,11.733333333333333,38.25,10.055865921787712,20.807932749443413,3.450096232854792,14.881813207121773,2.701931922563949,13.909983352850025,19.282708155471763,650.5810446750492,688.1049875014879
